State	Coal	Petroleum	Natural Gas
Alabama	36.1	36.9	36.1
Alaska	1.6	14.5	18.2
Arizona	32.0	36.4	17.8
Arkansas	25.6	21.9	16.8
California	3.2	241.8	115.9
Colorado	30.2	32.7	24.7
Connecticut	0.2	20.3	13.1
Delaware	0.5	6.4	5.5
District of Columbia	0.0	1.0	1.7
Florida	38.9	113.9	75.1
Georgia	32.9	62.3	37.6
Hawaii	1.4	16.2	0.2
Idaho	0.3	12.2	6.2
Illinois	65.3	81.6	55.5
Indiana	88.4	48.8	39.8
Iowa	28.6	26.3	21.9
Kansas	20.7	22.8	14.8
Kentucky	61.1	37.6	15.7
Louisiana	13.6	123.3	91.0
Maine	0.2	12.9	2.4
Maryland	10.2	30.3	11.5
Massachusetts	1.2	38.0	24.5
Michigan	47.6	57.0	48.1
Minnesota	24.6	39.2	24.7
Mississippi	5.1	33.9	28.8
Missouri	67.8	41.4	14.0
Montana	14.9	11.2	4.4
Nebraska	22.3	16.4	9.3
Nevada	2.6	17.6	16.2
New Hampshire	0.4	10.3	2.8
New Jersey	1.6	61.2	38.9
New Mexico	19.0	16.8	13.2
New York	1.9	88.1	67.8
North Carolina	33.4	54.8	27.5
North Dakota	37.9	12.4	6.2
Ohio	77.2	74.7	53.8
Oklahoma	18.9	37.7	36.6
Oregon	1.8	22.9	13.9
Pennsylvania	63.6	78.8	74.4
Rhode Island	0.0	5.0	5.0
South Carolina	18.4	35.8	15.1
South Dakota	2.5	7.6	4.5
Tennessee	31.9	48.8	17.5
Texas	138.7	360.8	211.5
Utah	26.2	20.0	12.2
Vermont	0.0	5.2	0.7
Virginia	15.2	51.7	31.6
Washington	5.9	54.2	18.6
West Virginia	67.8	12.8	10.7
Wisconsin	37.1	34.4	26.7
Wyoming	43.8	10.2	7.1